Section,Material,F,fp,ft,m_i,F_pyro,eta_pyro,F_hydro,eta_hydro
QP_ipf,68867.8206,MJ/yr,Annual energy for production component 1,,,,,,
QT_ipf,1269.2476,MJ/yr,Transport energy (E4) scaled to LFP pack 606 kg (NMC811 438 kg/917.41),,,,,,
beta_i,0.55,MJ/yr,Annual energy for production component 3,,,,,,
alpha_pf_el,0.35,MJ/yr,Annual energy for transportation 1,,,,,,
alpha_el_el,1,MJ/yr,Annual energy for transportation 2,,,,,,
alpha_pf_th,0.95,fraction,Proportion of primary fossil energy 1,,,,,,
alpha_el_th,2.71,fraction,Proportion of primary fossil energy 2,,,,,,
alpha_pf_tr,0.88,fraction,Proportion of primary fossil energy 3,,,,,,
alpha_el_tr,2.51,factor,Primary fossil to electricity conversion,,,,,,
e1,0.27,,,,,,,,
e2,0.24,,,,,,,,
e3,0.23,,,,,,,,
e4,0.26,,,,,,,,
