Section,Material,F,fp,ft,m_i,F_pyro,eta_pyro,F_hydro,eta_hydro
F_mobile,0.1,fraction,Fraction for mobile power supply,,,,,,
m_product_R2,438.2352064,kg/year,Total product mass for R2,,,,,,
m_recycled_at_80,335.642161,kg/year,Mass recycled when SOH < 80%,,,,,,
SOF_retired_1,0.1,fraction,State of function pathway 1,,,,,,
SOF_retired_2,0.4,fraction,State of function pathway 2,,,,,,
SOF_retired_3,0.8,fraction,State of function pathway 3,,,,,,
Y_retired_1,5,years,Lifespan in secondary use pathway 1,,,,,,
Y_retired_2,5,years,Lifespan in secondary use pathway 2,,,,,,
Y_retired_3,5,years,Lifespan in secondary use pathway 3,,,,,,
m_repurpose_1,14.46176181,kg/year,Mass repurposed in pathway 1,,,,,,
m_repurpose_2,14.46176181,kg/year,Mass repurposed in pathway 2,,,,,,
m_repurpose_3,14.46176181,kg/year,Mass repurposed in pathway 3,,,,,,
m_product_R3,438.2352064,kg/year,Total product mass for R3,,,,,,
recycled_fraction,0.69,fraction,Potentially recyclable fraction,,,,,,
Q1,1,score,Qualitative score 1,,,,,,
Q2,1,score,Qualitative score 2,,,,,,
Q3,5,score,Qualitative score 3,,,,,,
Q4,1,score,Qualitative score 4,,,,,,
Q5,5,score,Qualitative score 5,,,,,,
Q6,5,score,Qualitative score 6,,,,,,
Q7,5,score,Qualitative score 7,,,,,,
Q8,5,score,Qualitative score 8,,,,,,
Q9,1,score,Qualitative score 9,,,,,,
r1,0.27,,,,,,,,
r2,0.21,,,,,,,,
r3,0.23,,,,,,,,
r4,0.29,,,,,,,,
F_rene_1,0.297350324,fraction,Importance fraction step 1,,,,,,
F_rene_2,0.594700648,fraction,Importance fraction step 2,,,,,,
F_rene_3,0.010297368,fraction,Importance fraction step 3,,,,,,
F_rene_4,0.09765166,fraction,Importance fraction step 4,,,,,,
E_rene_1,0.2,MJ,Renewable energy consumption step 1,,,,,,
E_rene_2,0.2,MJ,Renewable energy consumption step 2,,,,,,
E_rene_3,0.105,MJ,Renewable energy consumption step 3,,,,,,
E_rene_4,0.2,MJ,Renewable energy consumption step 4,,,,,,
E_total_1,0,MJ,Total energy consumption step 1,,,,,,
E_total_2,79474.33522,MJ,Total energy consumption step 2,,,,,,
E_total_3,917.41,MJ,Total energy consumption step 3,,,,,,
E_total_4,8699.952127,MJ,Total energy consumption step 4,,,,,,
F_step_1,0.15,fraction,Fraction of energy in step 1,,,,,,
F_step_2,0.15,fraction,Fraction of energy in step 2,,,,,,
F_step_3,0.35,fraction,Fraction of energy in step 3,,,,,,
F_step_4,0.35,fraction,Fraction of energy in step 4,,,,,,
ES_step_1,-0.037,factor,Energy-saving factor step 1,,,,,,
ES_step_2,-0.036,factor,Energy-saving factor step 2,,,,,,
ES_step_3,0,factor,Energy-saving factor step 3,,,,,,
ES_step_4,0,factor,Energy-saving factor step 4,,,,,,
E_extraction,0,MJ,Energy for raw material extraction,,,,,,
E_processing,61193.23947,MJ,Energy for material processing,,,,,,
E_assembly,18281.09575,MJ,Energy for module/cell assembly,,,,,,
E_transport_manuf,917.41,MJ,Energy for manufacturing transport,,,,,,
E_collection,0,MJ,Energy for collection of spent batteries,,,,,,
E_transport_recy,917.41,MJ,Energy for transport to recycling,,,,,,
E_pre_treatment,961.4587626,MJ,Energy for pre-treatment,,,,,,
E_recovery,7738.493364,MJ,Energy for recovery processes,,,,,,
E_repurpose,0,MJ,Energy for repurposing,,,,,,
E_operational_secondlife,8699.952127,MJ,Operational energy during second-life,,,,,,
f_saving_from_recycled,0.58,fraction,Energy saving from recycled material,,,,,,
P_recycling,0.69,fraction,Fraction allocated to recycling,,,,,,
P_secondlife,0.1,fraction,Fraction allocated to second-life,,,,,,
Y_retired_years,10,years,Battery retired year,,,,,,
service_life_primary_years,8,years,Average service life for EV battery,,,,,,
E_used_j_1,15877.44,MJ/yr,Energy usage function 1,,,,,,
E_used_j_2,2599.814737,MJ/yr,Energy usage function 2,,,,,,
eta0,0.2,efficiency,Efficiency factor,,,,,,
t_j_1,8,years,Service life function 1,,,,,,
t_j_2,7,years,Service life function 2,,,,,,
F_j_1,1,fraction,Fraction of product for function 1,,,,,,
F_j_2,0.1,fraction,Fraction of product for function 2,,,,,,
I_j_1,0.8,factor,Importance factor function 1,,,,,,
I_j_2,0.5,factor,Importance factor function 2,,,,,,
QP_ipf,79474.33522,MJ/yr,Annual energy for production component 1,,,,,,
QT_ipf,917.41,MJ/yr,Annual energy for production component 2,,,,,,
beta_i,0.55,MJ/yr,Annual energy for production component 3,,,,,,
alpha_pf_el,0.35,MJ/yr,Annual energy for transportation 1,,,,,,
alpha_el_el,1,MJ/yr,Annual energy for transportation 2,,,,,,
alpha_pf_th,0.95,fraction,Proportion of primary fossil energy 1,,,,,,
alpha_el_th,2.71,fraction,Proportion of primary fossil energy 2,,,,,,
alpha_pf_tr,0.88,fraction,Proportion of primary fossil energy 3,,,,,,
alpha_el_tr,2.51,factor,Primary fossil to electricity conversion,,,,,,
e1,0.27,,,,,,,,
e2,0.24,,,,,,,,
e3,0.23,,,,,,,,
e4,0.26,,,,,,,,
